"TckrSymb","FinInstrmNm"
"MOSCHIP","MOSCHIP TECHNOLOGIES LIMITED"
"SIGMAADV","SIGMA ADVANCED SYSTEMS LIMITED"
"TRANSCOR","TRANSCORP INTERNATIONAL LTD."
"CEREBRAINT","CEREBRA INTEGRATED TECHNOLOGIE"
"NEXTMEDIA","NEXT MEDIAWORKS LTD."
"SMARTLINK","Smartlink Holdings Limited"
"GODREJCP","GODREJ CONSUMER PRODUCTS LTD."
"GENUSPRIME","GENUS PRIME INFRA LIMITED"
"BFUTILITIE","BF UTILITIES LTD."
"UNITDSPR","UNITED SPIRITS LTD."
"SANINFRA","SANMIT INFRA LIMITED"
"OLECTRA","OLECTRA GREENTECH LIMITED"
"MPSLTD","MPS LTD."
"CERA","CERA SANITARYWARE LTD."
"TSPIRITUAL","T.SPIRITUAL WORLD LTD."
"BHARTIARTL","BHARTI AIRTEL LTD."
"SHALIWIR","SHALIMAR WIRES INDUSTRIES LTD."
"COMPINFO","COMPUAGE INFOCOM LTD."
"GULPOLY","GULSHAN POLYOLS LTD."
"PONNIERODE","PONNI SUGARS (ERODE) LTD."
"PNB","PUNJAB NATIONAL BANK"
"OFSS","ORACLE FINANCIAL SERVICES SOFT"
"HAZOOR","HAZOOR MULTI PROJECTS LTD."
"KAMAHOLD","KAMA HOLDINGS LIMITED"
"APTECHT","APTECH LTD."
"UNIONBANK","UNION BANK OF INDIA"
"UBL","UNITED BREWERIES LTD."
"NOIDATOLL","NOIDA TOLL BRIDGE COMPANY LTD."
"GRANULES","GRANULES INDIA LTD."
"CANBK","CANARA BANK"
"BLIL","BALMER LAWRIE INVESTMENTS LTD."
"POKARNA","POKARNA LTD."
"DIVISLAB","DIVIS LABORATORIES LTD."
"ASTRAMICRO","ASTRA MICROWAVE PRODUCTS LTD."
"RADICO","RADICO KHAITAN LTD."
"MARUTI","MARUTI SUZUKI INDIA LTD."
"RAJPALAYAM","RAJAPALAYAM MILLS LTD."
"NAVINFLUOR","NAVIN FLUORINE INTERNATIONAL L"
"UCOBANK","UCO BANK"
"BAGFILMS","B.A.G.FILMS & MEDIA LTD."
"JSL","JINDAL STAINLESS LTD."
"SUPRAJIT","SUPRAJIT ENGINEERING LTD."
"TVSELECT","TVS ELECTRONICS LTD."
"IGL","INDRAPRASTHA GAS LTD."
"TVTODAY","TV TODAY NETWORK LTD."
"PALREDTEC","PALRED TECHNOLOGIES LIMITED"
"PETRONET","PETRONET LNG LTD."
"BIOCON","BIOCON LTD."
"PTC","PTC INDIA LTD."
"MAHABANK","BANK OF MAHARASHTRA"
"RKFORGE","RAMKRISHNA FORGINGS LTD."
"DATAMATICS","DATAMATICS GLOBAL SERVICES LTD"
"NDTV","NEW DELHI TELEVISION LTD."
"STAR","STRIDES PHARMA SCIENCE LIMITED"
"ULTRACEMCO","ULTRATECH CEMENT LTD."
"UNOMINDA","UNO Minda Limited"
"TCS","TATA CONSULTANCY SERVICES LTD."
"COFORGE","COFORGE LIMITED"
"GULFPETRO","GP PETROLEUMS LTD"
"CENTURYPLY","CENTURY PLYBOARDS (I) LTD."
"WELENT","WELSPUN ENTERPRISES LIMTED"
"NTPC","NTPC LTD."
"SALSTEEL","S.A.L.STEEL LTD."
"JBMA","JBM AUTO LTD."
"DWARKESH","DWARIKESH SUGAR INDUSTRIES LTD"
"INDOCO","INDOCO REMEDIES LTD."
"VIPCLOTHNG","VIP Clothing Limited"
"IMPEXFERRO","IMPEX FERRO TECH LTD."
"XCHANGING","XCHANGING SOLUTIONS LTD."
"MORARJEE","MORARJEE TEXTILES LTD."
"JINDALPHOT","JINDAL PHOTO LTD."
"POCL","PONDY OXIDES & CHEMICALS LTD."
"JPPOWER","JAIPRAKASH POWER VENTURES LIMI"
"3IINFOLTD","3I INFOTECH LTD."
"GOKEX","GOKALDAS EXPORTS LTD."
"ALLDIGI","Alldigi Tech Limited"
"IIFL","IIFL FINANCE LIMITED"
"MANGALAM","MANGALAM DRUGS & ORGANICS LTD."
"SHOPERSTOP","SHOPPERS STOP LTD."
"CYBERMEDIA","CYBER MEDIA (INDIA) LTD."
"NDL","NANDAN DENIM LIMITED"
"JSWHL","JSW HOLDINGS LIMITED"
"JKCEMENT","J.K.CEMENT LTD."
"BEEYU","BEEYU OVERSEAS LTD."
"YESBANK","YES BANK LTD."
"NECLIFE","NECTAR LIFESCIENCES LTD."
"MSPL","MSP STEEL & POWER LTD."
"SPLIL","SPL INDUSTRIES LTD."
"KTKBANK","KARNATAKA BANK LTD."
"MCLEODRUSS","MCLEOD RUSSEL INDIA LTD."
"FACORALL","FACOR ALLOYS LTD."
"VIVIMEDLAB","VIVIMED LABS LTD."
"RML","RANE (MADRAS) LTD."
"HTMEDIA","HT MEDIA LTD."
"SASKEN","Sasken Technologies Limited"
"FCSSOFT","FCS SOFTWARE SOLUTIONS LTD."
"SUZLON","SUZLON ENERGY LTD."
"AURIONPRO","AURIONPRO SOLUTIONS LTD."
"RENUKA","SHREE RENUKA SUGARS LTD."
"KMSUGAR","K.M.SUGAR MILLS LTD."
"BASML","BANNARI AMMAN SPINNING MILLS L"
"PBAINFRA","PBA INFRASTRUCTURE LTD."
"AIAENG","AIA ENGINEERING LTD."
"EKC","EVEREST KANTO CYLINDER LTD."
"KERNEX","KERNEX MICROSYSTEMS (INDIA) LT"
"REPRO","REPRO INDIA LTD."
"PVRINOX","PVR INOX LIMITED"
"ASMS","BARTRONICS INDIA LTD."
"CELEBRITY","CELEBRITY FASHIONS LTD."
"NITINSPIN","NITIN SPINNERS LTD."
"ROHLTD","ROYAL ORCHID HOTELS LTD."
"ENIL","ENTERTAINMENT NETWORK (INDIA)"
"CELLA","CELLA SPACE LIMITED"
"JAGRAN","JAGRAN PRAKASHAN LTD."
"DYNPRO","DYNEMIC PRODUCTS LTD."
"GVKPIL","GVK POWER & INFRASTRUCTURE LTD"
"SADBHAV","SADBHAV ENGINEERING LTD."
"RCOM","RELIANCE COMMUNICATIONS LTD."
"SAKUMA","SAKUMA EXPORTS LTD."
"KEC","KEC INTERNATIONAL LTD."
"GILLANDERS","GILLANDERS ARBUTHNOT & CO.LTD."
"INDOTECH","INDO TECH TRANSFORMERS LTD."
"BLKASHYAP","B.L.KASHYAP AND SONS LTD."
"M&MFIN","MAHINDRA & MAHINDRA FINANCIAL"
"VISACHROME","VISA Chrome Limited"
"NITCO","NITCO LTD."
"MPDL","MPDL LIMITED"
"SOLARINDS","SOLAR INDUSTRIES INDIA LTD."
"GALLANTT","GALLANTT ISPAT LIMITED"
"UTTAMSUGAR","UTTAM SUGAR MILLS LTD."
"SGL","STL GLOBAL LTD."
"KKCL","KEWAL KIRAN CLOTHING LTD."
"SUNTV","SUN TV NETWORK LTD."
"GPIL","GODAWARI POWER & ISPAT LTD."
"RSYSTEMS","R SYSTEMS INTERNATIONAL LTD."
"EMKAY","EMKAY GLOBAL FINANCIAL SERVICE"
"TICL","TwamevConstruction and Infrast"
"LOKESHMACH","LOKESH MACHINES LTD."
"KAMDHENU","Kamdhenu Limited"
"PAUSHAKLTD","PAUSHAK LTD."
"GTNTEX","GTN TEXTILES LTD."
"PFOCUS","PRIME FOCUS LTD."
"ALLCARGO","ALLCARGO LOGISTICS LTD."
"GMRAIRPORT","GMR Airports Limited"
"TECHM","TECH MAHINDRA LTD."
"CIEINDIA","CIE Automotive India Limited"
"VOLTAMP","VOLTAMP TRANSFORMERS LTD."
"ATLANTAA","ATLANTAA LIMITED"
"HGM","HANDSON GLOBAL MANAGEMENT (HGM"
"ACE","ACTION CONSTRUCTION EQUIPMENT"
"GEECEE","GEECEE VENTURES LIMITED"
"GAYAPROJ","GAYATRI PROJECTS LTD."
"FIEMIND","FIEM INDUSTRIES LTD."
"JHS","JHS SVENDGAARD LABORATORIES LT"
"DCBBANK","DCB BANK LIMITED"
"GLOBALVECT","GLOBAL VECTRA HELICORP LTD."
"INSPIRISYS","Inspirisys Solutions Limited"
"GTLINFRA","GTL INFRASTRUCTURE LTD."
"SHIVAMAUTO","SHIVAM AUTOTECH LTD."
"NAUKRI","INFO EDGE (INDIA) LTD."
"TORNTPOWER","TORRENT POWER LTD."
"PARSVNATH","PARSVNATH DEVELOPERS LTD."
"SUTLEJTEX","SUTLEJ TEXTILES & INDUSTRIES L"
"LTFOODS","LT FOODS LTD."
"SOBHA","SOBHA"
"RUCHIRA","RUCHIRA PAPERS LTD."
"TANLA","TANLA PLATFORMS LIMITED"
"ZEEMEDIA","ZEE MEDIA CORPORATION LIMITED"
"SITINET","Siti Networks Ltd."
"LUMAXTECH","LUMAX AUTO TECHNOLOGIES LTD."
"AUTOIND","AUTOLINE INDUSTRIES LTD."
"NETWORK18","NETWORK18 MEDIA & INVESTMENTS"
"HUBTOWN","HUBTOWN LTD."
"CTE","CAMBRIDGE TECHNOLOGY ENTERPRIS"
"TIIL","TECHNOCRAFT INDUSTRIES (INDIA)"
"REDINGTON","Redington Limited"
"AICHAMP","AI CHAMPDANY INDUSTRIES LTD."
"CINELINE","CINELINE INDIA LIMITED"
"PGIL","PEARL GLOBAL INDUSTRIES LIMITE"
"FSL","FIRSTSOURCE SOLUTIONS LTD."
"PFC","POWER FINANCE CORPORATION LTD."
"AHLUCONT","AHLUWALIA CONTRACTS (INDIA) LT"
"TFL","TRANSWARRANTY FINANCE LTD."
"INDIANB","INDIAN BANK"
"SMSPHARMA","SMS PHARMACEUTICALS LTD."
"ORIENTALTL","ORIENTAL TRIMEX LTD."
"ELAND","E-Land Apparel Limited"
"IDEA","VODAFONE IDEA  LIMITED"
"JAGJANANI","JAGJANANI TEXTILES LTD."
"RAJTV","RAJ TELEVISION NETWORK LTD."
"PAGEIND","PAGE INDUSTRIES LTD."
"AMDIND","AMD INDUSTRIES LTD."
"LEHAR","LEHAR FOOTWEARS LIMITED"
"ASTRAL","ASTRAL LIMITED"
"EMBDL","EMBASSY DEVELOPMENTS LIMITED"
"CAMLINFINE","Camlin Fine Sciences Ltd"
"ICRA","ICRA LTD."
"DISHTV","DISH TV INDIA LTD."
"SAHYADRI","SAHYADRI INDUSTRIES LTD."
"SRHHYPOLTD","SREE RAYALASEEMA HI-STRENGTH H"
"FORTIS","FORTIS HEALTHCARE LTD."
"TGBHOTELS","TGB BANQUETS AND HOTELS LTD."
"HILTON","HILTON METAL FORGING LTD."
"DELTACORP","DELTA CORP LTD."
"MICEL","MIC ELECTRONICS LTD."
"INSECTICID","INSECTICIDES (INDIA) LTD."
"ASAHISONG","ASAHI SONGWON COLORS LTD."
"HARYNACAP","HARYANA CAPFIN LTD."
"TIMETECHNO","TIME TECHNOPLAST LTD."
"HGS","HINDUJA GLOBAL SOLUTIONS LTD."
"NELCAST","NELCAST LTD."
"V2RETAIL","V2 RETAIL LTD."
"DLF","DLF LTD."
"TARMAT","TARMAT LTD."
"ANKITMETAL","ANKIT METAL & POWER LTD."
"SPARC","SUN PHARMA ADVANCED RESEARCH C"
"HDIL","HOUSING DEVELOPMENT & INFRASTR"
"ADSL","ALLIED DIGITAL SERVICES LTD."
"ALPA","ALPA LABORATORIES LTD."
"OMAXE","OMAXE LTD."
"REFEX","REFEX INDUSTRIES LTD."
"CENTRALBK","CENTRAL BANK OF INDIA"
"SELMC","SEL MANUFACTURING COMPANY LTD."
"ASIANTILES","ASIAN GRANITO INDIA LTD."
"KPRMILL","K.P.R.MILL LIMITED"
"TAKE","TAKE SOLUTIONS LTD."
"PURVA","Puravankara Limited"
"MOTILALOFS","MOTILAL OSWAL FINANCIAL SERVIC"
"VTMLTD","VTM LTD."
"INDOWIND","INDOWIND ENERGY LTD."
"NAGREEKCAP","NAGREEKA CAPITAL & INFRASTRUCT"
"MAGNUM","MAGNUM VENTURES LTD."
"POWERGRID","POWER GRID CORPORATION OF INDI"
"KSCL","KAVERI SEED COMPANY LTD."
"PAISALO","PAISALO DIGITAL LIMITED"
"CCCL","CONSOLIDATED CONSTRUCTION CONS"
"SUPREMEINF","SUPREME INFRASTRUCTURE INDIA L"
"MAANALU","MAAN ALUMINIUM LTD."
"IL&FSENGG","IL&FS ENGINEERING AND CONSTRUC"
"PARLEIND","PARLE INDUSTRIES LIMITED"
"RELIGARE","RELIGARE ENTERPRISES LTD."
"BVCL","BARAK VALLEY CEMENTS LTD."
"RATHIBAR","RATHI BARS LTD."
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOM"
"EDELWEISS","EDELWEISS FINANCIAL SERVICES L"
"RGL","RENAISSANCE GLOBAL LIMITED"
"KOLTEPATIL","KOLTE-PATIL DEVELOPERS LTD."
"KAUSHALYA","KAUSHALYA INFRASTRUCTURE DEVEL"
"JYOTHYLAB","JYOTHY LABS LIMITED"
"ECLERX","ECLERX SERVICES LTD."
"TARIL","TRANSFORMERS AND RECTIFIERS (I"
"BRIGADE","BRIGADE ENTERPRISES LTD."
"BGRENERGY","BGR ENERGY SYSTEMS LTD."
"MANAKSIA","MANAKSIA LTD."
"PORWAL","PORWAL AUTO COMPONENTS LTD."
"PPAP","PPAP"
"ARIES","ARIES AGRO LTD."
"KUANTUM","KUANTUM PAPERS LTD."
"RPOWER","RELIANCE POWER LTD."
"JKIL","J.KUMAR INFRAPROJECTS LTD."
"CORDSCABLE","CORDS CABLE INDUSTRIES LTD."
"KNRCON","KNR CONSTRUCTIONS LTD."
"ONMOBILE","ONMOBILE"
"SEPC","SEPC LIMITED"
"BANG","BANG OVERSEAS LTD."
"IRB","IRB INFRASTRUCTURE DEVELOPERS"
"GSS","GSS INFOTECH LTD."
"NAHARCAP","NAHAR CAPITAL & FINANCIAL SERV"
"VGUARD","V-GUARD INDUSTRIES LTD."
"RECLTD","REC LIMITED"
"GOKAKTEX","GOKAK TEXTILES LTD."
"TITAGARH","TITAGARH RAIL SYSTEMS LIMITED"
"KIRIINDUS","KIRI INDUSTRIES LTD."
"BIRLAMONEY","ADITYA BIRLA MONEY LTD."
"TELOGICA","TELOGICA LIMITED"
"JAIBALAJI","JAI BALAJI INDUSTRIES LTD."
"BAJAJ-AUTO","BAJAJ AUTO LTD."
"BAJAJFINSV","BAJAJ FINSERV LTD."
"GOKUL","GOKUL REFOILS & SOLVENT LTD."
"RPGLIFE","RPG LIFE SCIENCES LTD."
"SENSEX1","KOTAK MAHINDRA MUTUAL FUND"
"NIRAJ","NIRAJ CEMENT STRUCTURALS LTD."
"BAFNAPH","BAFNA PHARMACEUTICALS LTD."
"CHLLTD","CHL LTD."
"SEJALLTD","SEJAL GLASS LIMITED"
"ARCHIDPLY","ARCHIDPLY INDUSTRIES LTD."
"LOTUSEYE","Lotus Eye Hospital And Institu"
"SOMICONVEY","SOMI CONVEYOR BELTINGS LTD."
"LGBFORGE","LGB FORGE LTD."
"LPDC","LANDMARK PROPERTY DEVELOPMENT"
"SICAGEN","SICAGEN INDIA LTD."
"SIMPLXPAP","SIMPLEX PAPERS LTD."
"20MICRONS","20 MICRONS LTD."
"ZFCVINDIA","ZF Commercial Vehicle Control"
"ALKALI","ALKALI METALS LTD."
"ISGEC","ISGEC HEAVY ENGINEERING LTD."
"IMFA","INDIAN METALS & FERRO ALLOYS L"
"TPHQ","Teamo Productions HQ Limited"
"VEDAVAAG","VEDAVAAG SYSTEMS LTD."
"MOLDTKPAC","MOLD-TEK PACKAGING LIMITED"
"MHRIL","MAHINDRA HOLIDAYS & RESORTS IN"
"LANDSMILL","Landsmill Green Limited"
"ROML","RAJ OIL MILLS LTD."
"BENGALASM","BENGAL & ASSAM COMPANY LTD."
"ADANIPOWER","ADANI POWER LTD."
"NHPC","NHPC LTD."
"PEIL","PREMIER ENERGY AND INFRASTRUCT"
"SURYAAMBA","SURYAAMBA SPINNING MILLS LTD."
"GLOBUSSPR","GLOBUS SPIRITS LTD."
"OIL","OIL INDIA LTD."
"SWANDEF","SWAN DEFENCE AND HEAVY INDUSTR"
"BTTL","BHILWARA TECHNICAL TEXTILES LT"
"SPSL","SHREE PRECOATED STEELS LTD."
"EXPLEOSOL","EXPLEO SOLUTIONS LIMITED"
"RTNPOWER","RATTANINDIA POWER LTD."
"DEN","DEN NETWORKS LTD"
"ASTEC","ASTEC LIFESCIENCES LIMITED"
"DLINKINDIA","D-LINK (INDIA) LTD"
"JSWENERGY","JSW ENERGY LTD"
"YUNIKM","Yunik Managing Advisors Limite"
"GODREJPROP","GODREJ PROPERTIES LTD"
"DBCORP","D B CORP LTD"
"MBLINFRA","MBL Infrastructure Ltd"
"JUBLFOOD","JUBILANT FOODWORKS LTD"
"VASCONEQ","VASCON ENGINEERS LTD"
"THANGAMAYL","THANGAMAYIL JEWELLERY LTD"
"DBREALTY","VALOR ESTATE LIMITED"
"EMMBI","EMMBI INDUSTRIES LTD"
"HATHWAY","HATHWAY CABLE & DATACOM LTD"
"TEXMOPIPES","TEXMO PIPES & PRODUCTS LTD."
"SUNDARAM","SUNDARAM MULTI PAP LTD."
"COROENGG","COROMANDEL ENGINEERING COMPANY"
"ROSSELLIND","ROSSELL INDIA LTD."
"MANINFRA","MAN INFRACONSTRUCTION LTD."
"TAMBOLIIN","TAMBOLI INDUSTRIES LIMITED"
"IVZINGOLD","INVESCO India Gold Exchange Tr"
"IL&FSTRANS","IL&FS TRANSPORTATION NETWORKS"
"PERSISTENT","PERSISTENT SYSTEMS LTD."
"ISFT","INTRASOFT TECHNOLOGIES LTD."
"KCPSUGIND","KCP SUGAR & INDUSTRIES CORPORA"
"KECL","KIRLOSKAR ELECTRIC COMPANY LTD"
"SATCH","SATCHMO HOLDINGS LIMITED"
"TARAPUR","TARAPUR TRANSFORMERS LTD"
"SJVN","SJVN LTD"
"EMAMIPAP","EMAMI PAPER MILLS LTD."
"KRITINUT","KRITI NUTRIENTS LTD"
"GKB","GKB OPHTHALMICS LTD."
"HMVL","HINDUSTAN MEDIA VENTURES LTD."
"EMAMIREAL","EMAMI REALTY LIMITED"
"AHLWEST","ASIAN HOTELS (WEST) LTD."
"AHLEAST","ASIAN HOTELS (EAST) LTD."
"BAJAJCON","BAJAJ CONSUMER CARE LIMITED"
"HDFCGOLD","HDFC MUTUAL FUND - HDFC GOLD E"
"PRAKASHSTL","PRAKASH STEELAGE LTD."
"GOLDIETF","ICICI Prudential Gold ETF"
"GPPL","GUJARAT PIPAVAV PORT LTD."
"WELINV","WELSPUN INVESTMENTS AND COMMER"
"WAAREEINDO","INDOSOLAR LTD."
"HEALTHX","HEALTH X PLATFORM LIMITED"
"CPCAP","CP CAPITAL LIMITED"
"RAMKY","RAMKY INFRASTRUCTURE LTD."
"GREENPOWER","ORIENT GREEN POWER COMPANY LTD"
"CANTABIL","CANTABIL RETAIL INDIA LTD."
"SEATV","SEA TV NETWORK LTD."
"WABAG","VA TECH WABAG LTD."
"BEDMUTHA","BEDMUTHA INDUSTRIES LTD."
"ASHOKA","ASHOKA BUILDCON LTD."
"JWL","JUPITER WAGONS LIMITED"
"OBEROIRLTY","OBEROI REALTY LTD."
"PRESTIGE","PRESTIGE ESTATES PROJECTS LTD."
"SHAH","SHAH METACORP LIMITED"
"COALINDIA","COAL INDIA LTD."
"GRAVITA","GRAVITA INDIA LTD."
"RPPINFRA","RPP INFRA PROJECTS LTD."
"RDBIPL","RDB INFRASTRUCTURE AND POWER L"
"MOIL","MOIL LTD."
"ZEELEARN","ZEE LEARN LTD."
"KTIL","KESAR TERMINALS & INFRASTRUCTU"
"A2ZINFRA","A2Z INFRA ENGINEERING LIMITED"
"KIRLOSENG","KIRLOSKAR OIL ENGINES LTD."
"RKDL","RAVI KUMAR DISTILLERIES LTD."
"PSB","PUNJAB & SIND BANK"
"FMNL","FUTURE MARKET NETWORKS LTD."
"SURANASOL","SURANA SOLAR LTD."
"SHEKHAWATI","SHEKHAWATI INDUSTRIES LIMITED"
"KICL","KALYANI INVESTMENT COMPANY LTD"
"BFINVEST","BF INVESTMENT LTD."
"SUMMITSEC","SUMMIT SECURITIES LTD."
"INOVSYNTH","INNOVASSYNTH TECHNOLOGIES (IND"
"STEL","STEL HOLDINGS LIMITED"
"TEXRAIL","TEXMACO RAIL & ENGINEERING LTD"
"INDTERRAIN","INDIAN TERRAIN FASHIONS LTD."
"FCL","FINEOTEX CHEMICAL LTD."
"DHUNINV","DHUNSERI INVESTMENTS LTD."
"ZENTEC","ZEN TECHNOLOGIES LTD."
"LOVABLE","LOVABLE LINGERIE LTD."
"PFS","PTC INDIA FINANCIAL SERVICES L"
"MON100","MOTILAL OSWAL MOST SHARES NASD"
"MUTHOOTFIN","MUTHOOT FINANCE LTD."
"TRUEGREEN","TRUE GREEN BIO ENERGY LIMITED"
"BSLGOLDETF","Aditya Birla Sun Life Mutual F"
"VMS","VMS INDUSTRIES LTD."
"KARMAENG","KARMA ENERGY LTD."
"DELPHIFX","DELPHI WORLD MONEY LIMITED"
"RUSHIL","RUSHIL DECOR LTD."
"ENKEIWHEL","ENKEI WHEELS (INDIA) LTD."
"KRIDHANINF","KRIDHAN INFRA LIMITED"
"INVENTURE","INVENTURE GROWTH & SECURITIES"
"LTF","L&T Finance Limited"
"IBULLSLTD","Indiabulls Limited"
"TREEHOUSE","TREE HOUSE EDUCATION & ACCESSO"
"BROOKS","BROOKS LABORATORIES LTD."
"RUPA","RUPA & COMPANY LTD."
"TDPOWERSYS","T D POWER SYSTEMS LTD."
"AXISGOLD","AXIS MUTUAL FUND - AXIS GOLD E"
"APLLTD","ALEMBIC PHARMACEUTICALS LTD."
"VASWANI","VASWANI INDUSTRIES LTD."
"PGEL","PG ELECTROPLAST LTD."
"LESHAIND","LESHA INDUSTRIES LTD."
"SETUINFRA","SETUBANDHAN INFRASTRUCTURE LIM"
"RDBRL","RDB RASAYANS LTD."
"TIJARIA","TIJARIA POLYPIPES LTD."
"ONELIFECAP","ONELIFE CAPITAL ADVISORS LTD."
"FLEXITUFF","FLEXITUFF VENTURES INTERNATION"
"UEL","UJAAS ENERGY LIMITED"
"TRITURBINE","TRIVENI TURBINE LTD."
"INDOTHAI","INDO THAI SECURITIES LTD."
"ESSARSHPNG","ESSAR SHIPPING LTD."
"LICMFGOLD","LIC MUTUAL FUND - LIC MF GOLD"
"APLAPOLLO","APL APOLLO TUBES LTD."
"GPTINFRA","GPT INFRAPROJECTS LTD."
"FERVENTSYN","FERVENT SYNERGIES LTD."
"THOMASCOTT","THOMAS SCOTT (INDIA) LIMITED"
"TERASOFT","TERA SOFTWARE LTD."
"PMCFIN","PMC FINCORP LIMITED"
"FUTSOL","FUTURISTIC SOLUTIONS LTD."
"AIML","ALLIANCE INTEGRATED METALIKS L"
"RHIM","RHI MAGNESITA INDIA LIMITED"
"MCX","MULTI COMMODITY EXCHANGE OF IN"
"SCHNEIDER","SCHNEIDER ELECTRIC INFRASTRUCT"
"OLPCL","OLYMPIC CARDS LTD."
"NBCC","NBCC (India) Limited"
"MTEDUCARE","MT EDUCARE LTD."
"HEXATRADEX","HEXA TRADEX LTD."
"MAXHEIGHTS","Max heights Infrastucture Ltd"
"TBZ","TRIBHOVANDAS BHIMJI ZAVERI LTD"
"VSSL","VARDHMAN SPECIAL STEELS LTD."
"LOOKS","LOOKS HEALTH SERVICES LIMITED"
"SPECIALITY","SPECIALITY RESTAURANTS LTD."
"LYPSAGEMS","LYPSA GEMS & JEWELLERY LTD"
"META","STRING METAVERSE LIMITED"
"RTNINDIA","RATTANINDIA ENTERPRISES LIMITE"
"SAMPANN","Sampann Utpadan India Limited"
"JTLIND","JTL INDUSTRIES LIMITED"
"AMTL","ADVANCE METERING TECHNOLOGY LT"
"NECCLTD","NORTH EASTERN CARRYING CORPORA"
"WAAREERTL","WAAREE RENEWABLE TECHNOLOGIES"
"JUPITERIN","JUPITER INFOMEDIA LTD."
"VINAYAKPOL","VINAYAK POLYCON INTERNATIONAL"
"DUCON","Ducon Infratechnologies Ltd"
"PROZONER","PROZONE REALTY LIMITED"
"SRGHFL","SRG HOUSING FINANCE LTD."
"COMCL","COMFORT COMMOTRADE LTD."
"SHANTIGURU","SHANTI GURU INDUSTRIES LIMITED"
"CASPIAN","CASPIAN CORPORATE SERVICES LIM"
"AERPACE","Aerpace Industries Limited"
"VIRTUALG","VIRTUAL GLOBAL EDUCATION LTD."
"ZUARI","ZUARI AGRO CHEMICALS LTD."
"STEELXIND","STEEL EXCHANGE INDIA LTD."
"TRIOMERC","TRIO MERCANTILE & TRADING LTD."
"CDG","CDG PETCHEM LIMITED"
"CARERATING","CARE Ratings Limited"
"PCJEWELLER","PC JEWELLER LTD."
"INDUSTOWER","INDUS TOWERS LIMITED"
"COVIDH","COVIDH"
"VMART","V-MART RETAIL LTD."
"NIBE","NIBE LIMITED"
"MUKTA","Mukta Agriculture Limited"
"MYSTICELE","Mystic Electronics Limited"
"COMFINCAP","COMFORT FINCAP LTD."
"SBISENSEX","SBI MUTUAL FUND - SBI ETF SENS"
"REPCOHOME","REPCO HOME FINANCE LTD."
"LAKHOTIA","LAKHOTIA POLYESTERS (INDIA) LT"
"GCMSECU","GCM SECURITIES LTD"
"NIBL","NRB INDUSTRIAL BEARINGS LTD."
"KIFS","KIFS FINANCIAL SERVICES LTD."
"SREEL","SREELEATHERS LTD."
"SHARDAMOTR","SHARDA MOTOR INDUSTRIES LTD"
"BINNYMILLS","BINNY MILLS LTD."
"SVGLOBAL","S V GLOBAL MILL LTD."
"JUSTDIAL","JUST DIAL LTD."
"OONE","OBJECTONE INFORMATION SYSTEMS"
"IFINSEC","INDIA FINSEC LTD."
"BRAHMINFRA","BRAHMAPUTRA INFRASTRUCTURE LTD"
"AMPVOLTS","AMPVOLTS LIMITED"
"KHOOBSURAT","KHOOBSURAT LTD"
"ORIENTCEM","ORIENT CEMENT LTD"
"ABFRL","Aditya Birla Fashion and Retai"
"SAMMAANCAP","Sammaan Capital Limited"
"MMLF","MONEY MASTERS LEASING & FINANC"
"ALSL","ALACRITY SECURITIES LTD"
"ESSENTIA","Integra Essentia Limited"
"JULIEN","JULIEN AGRO INFRATECH LIMITED"
"TIGERLOGS","TIGER LOGISTICS (INDIA) LTD"
"JKAGRI","JK AGRI GENETICS LTD"
"FLFL","FUTURE LIFESTYLE FASHIONS LTD"
"NOVELIX","NOVELIX PHARMACEUTICALS LIMITE"
"PVVINFRA","PVV Infra Limited"
"VCU","VCU DATA MANAGEMENT LTD"
"INDRENEW","IND Renewable Energy Ltd"
"JPOLYINVST","JINDAL POLY INVESTMENT AND FIN"
"YURANUS","YURANUS INFRASTRUCTURE LTD"
"MOM100","MOTILAL OSWAL MUTUAL FUND - MO"
"CPL","CAPTAIN POLYPLAST LTD"
"NIFTYIETF","ICICI Prudential Nifty ETF"
"NIF100IETF","ICICI Prudential Nifty 100 ETF"
"ARNOLD","ARNOLD HOLDINGS LTD"
"SUNLOC","SUNIL HEALTHCARE LTD"
"SUYOG","SUYOG TELEMATICS LTD"
"NATHBIOGEN","NATH BIO-GENES (INDIA) LTD"
"AGRITECH","AGRI- TECH (INDIA) LTD"
"CHEMTECH","CHEMTECH INDUSTRIAL VALVES LTD"
"NIF100BEES","NIPPON INDIA ETF NIFTY 100"
"DENISCHEM","DENIS CHEM LAB LTD"
"UNISHIRE","UNISHIRE URBAN INFRA LTD"
"LADDU","LADDU GOPAL ONLINE SERVICES LI"
"NIFTY1","KOTAK MAHINDRA MUTUAL FUND - K"
"HANSUGAR","SHREE HANUMAN SUGAR & INDUSTRI"
"KIRANVYPAR","KIRAN VYAPAR LTD"
"BCP","B.C. POWER CONTROLS LTD"
"RACE","RACE ECO CHAIN LIMITED"
"MANGIND","MANGALAM INDUSTRIAL FINANCE LT"
"VIJIFIN","VIJI FINANCE LTD"
"HBGHOTELS","HBG HOTELS LIMITED"
"RAUNAQ","RAUNAQ INTERNATIONAL LIMITED"
"INFRONICS","INFRONICS SYSTEMS LTD"
"CPSEETF","CPSE ETF"
