bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,UFLEX Limited,25-Jun-2026,10,-,INE516A01017,-,-,26-Jun-2026,EQ,Dividend - Rs 3 Per Share,UFLEX
-,-,,Raymond Lifestyle Limited,29-Jun-2026,2,-,INE02ID01020,-,-,29-Jun-2026,EQ,Dividend - Re 1 Per Share,RAYMONDLSL
-,-,,Kalpataru Projects International Limited,29-Jun-2026,2,-,INE220B01022,-,-,29-Jun-2026,EQ,Dividend - Rs 11 Per Share,KPIL
-,-,,Kajaria Ceramics Limited,29-Jun-2026,1,-,INE217B01028,-,-,29-Jun-2026,EQ,Buy Back,KAJARIACER
-,-,,GOVERNMENT OF INDIA,29-Jun-2026,100,-,IN0020120062,-,-,29-Jun-2026,GS,Interest Payment,83GS2042
-,-,,Kansai Nerolac Paints Limited,29-Jun-2026,1,-,INE531A01016,-,-,29-Jun-2026,EQ,Dividend - Rs 2.50 Per Share,KANSAINER
-,-,,Patel Integrated Logistics Limited,30-Jun-2026,10,-,INE529D01014,-,-,30-Jun-2026,EQ,Buy Back,PATINTLOG
-,-,,Welspun Corp Limited,30-Jun-2026,5,-,INE191B01025,-,-,30-Jun-2026,EQ,Dividend - Rs 5 Per Share,WELCORP
-,-,,DCM Shriram Fine Chemicals Limited,01-Jul-2026,2,-,INE0OFM01015,-,-,01-Jul-2026,EQ,Dividend - Re 0.40 Per Sh,DSFCL
-,-,,Chembond Material Technologies Limited,02-Jul-2026,5,-,INE995D01025,-,-,02-Jul-2026,EQ,Dividend - Rs 2 Per Share,CHEMBOND
-,-,,Lloyds Enterprises Limited,02-Jul-2026,1,-,INE080I01025,-,-,02-Jul-2026,EQ,Dividend - Re 0.05 Per Share,LLOYDSENT
-,-,,Gujarat Gas Limited,02-Jul-2026,2,-,INE844O01022,-,-,02-Jul-2026,EQ,Demerger,GUJGASLTD
-,-,,Raymond Realty Limited,03-Jul-2026,10,-,INE1SY401010,-,-,03-Jul-2026,EQ,Dividend - Rs 2 Per Share,RAYMONDREL
-,-,,Escorts Kubota Limited,03-Jul-2026,10,-,INE042A01014,-,-,03-Jul-2026,EQ,Dividend - Rs 33 Per Share,ESCORTS
-,-,,Welspun Enterprises Limited,03-Jul-2026,10,-,INE625G01013,-,-,03-Jul-2026,EQ,Dividend - Rs 3 Per Share,WELENT
-,-,,Madhya Bharat Agro Products Limited,03-Jul-2026,10,-,INE900L01010,-,-,03-Jul-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,MBAPL
-,-,,Max Healthcare Institute Limited,03-Jul-2026,10,-,INE027H01010,-,-,03-Jul-2026,EQ,Dividend - Rs 2 Per Share,MAXHEALTH
-,-,,Can Fin Homes Limited,03-Jul-2026,2,-,INE477A01012,-,-,03-Jul-2026,EQ,Dividend - Rs 8 Per Share,CANFINHOME
-,-,,Mahindra & Mahindra Limited,03-Jul-2026,5,-,INE101A01026,-,-,03-Jul-2026,EQ,Dividend - Rs 33 Per Share,M&M
-,-,,Bharat Forge Limited,03-Jul-2026,2,-,INE465A01025,-,-,03-Jul-2026,EQ,Dividend - Rs 6.50 Per Share,BHARATFORG
-,-,,Redington Limited,03-Jul-2026,2,-,INE891D01018,-,-,03-Jul-2026,EQ,Dividend - Rs 6 Per Share,REDINGTON
-,-,,SKF India Limited,03-Jul-2026,10,-,INE640A01023,-,-,03-Jul-2026,EQ,Dividend - Rs 40 Per Share,SKFINDIA
-,-,,JSW Dulux Limited,03-Jul-2026,10,-,INE133A01011,-,-,03-Jul-2026,EQ,Dividend - Rs 50 Per Share,JSWDULUX
-,-,,Kirloskar Pneumatic Company Limited,03-Jul-2026,2,-,INE811A01020,-,-,03-Jul-2026,EQ,Dividend - Rs 8.50 Per Share,KIRLPNU
-,-,,Krishana Phoschem Limited,03-Jul-2026,10,-,INE506W01012,-,-,03-Jul-2026,EQ,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,KRISHANA
-,-,,Teamlease Services Limited,03-Jul-2026,10,-,INE985S01024,-,-,03-Jul-2026,EQ,Buy Back,TEAMLEASE
-,-,,Union Bank of India,03-Jul-2026,10,-,INE692A01016,-,-,03-Jul-2026,EQ,Dividend - Rs 5 Per Share,UNIONBANK
-,-,,Balaji Amines Limited,03-Jul-2026,2,-,INE050E01019,-,-,03-Jul-2026,EQ,Dividend - Rs 11 Per Share,BALAMINES
-,-,,Pilani Investment and Industries Corporation Limited,06-Jul-2026,10,-,INE417C01014,-,-,06-Jul-2026,EQ,Dividend - Rs 9 Per Share,PILANIINVS
-,-,,TSF INVESTMENTS LIMITED,07-Jul-2026,5,-,INE202Z01029,-,-,07-Jul-2026,EQ,Dividend - Rs 4.45 Per Share,TSFINV
-,-,,Dodla Dairy Limited,07-Jul-2026,10,-,INE021O01019,-,-,07-Jul-2026,EQ,Dividend - Rs 5 Per Share,DODLA
-,-,,JSW Steel Limited,07-Jul-2026,1,-,INE019A01020,-,-,07-Jul-2026,EQ,Dividend - Rs 7.10 Per Share,JSWSTEEL
-,-,,Sun Pharmaceutical Industries Limited,07-Jul-2026,1,-,INE044A01028,-,-,07-Jul-2026,EQ,Dividend - Rs 5 Per Share,SUNPHARMA
-,-,,United Spirits Limited,08-Jul-2026,2,-,INE854D01024,-,-,08-Jul-2026,EQ,Dividend - Rs 11 Per Share,UNITDSPR
-,-,,MphasiS Limited,08-Jul-2026,10,-,INE356A01018,-,-,08-Jul-2026,EQ,Dividend - Rs 62 Per Share,MPHASIS
-,-,,Sheela Foam Limited,09-Jul-2026,5,-,INE916U01025,-,-,09-Jul-2026,EQ,Dividend - Re 1 Per Share,SFL
-,-,,Orient Electric Limited,10-Jul-2026,1,-,INE142Z01019,-,-,10-Jul-2026,EQ,Dividend - Rs 0.75 Per Share,ORIENTELEC
-,-,,Hindalco Industries Limited,10-Jul-2026,1,-,INE038A01020,-,-,10-Jul-2026,EQ,Dividend - Rs 5 Per Share,HINDALCO
-,-,,Apollo Tyres Limited,10-Jul-2026,1,-,INE438A01022,-,-,10-Jul-2026,EQ,Dividend - Rs2.50 Per Share,APOLLOTYRE
-,-,,JK Cement Limited,10-Jul-2026,10,-,INE823G01014,-,-,10-Jul-2026,EQ,Dividend - Rs 20 Per Share,JKCEMENT
-,-,,BIRLASOFT LIMITED,10-Jul-2026,2,-,INE836A01035,-,-,10-Jul-2026,EQ,Dividend - Rs 4 Per Share,BSOFT
-,-,,ZF Commercial Vehicle Control Systems India Limited,10-Jul-2026,5,-,INE342J01019,-,-,10-Jul-2026,EQ,Dividend - Rs 4 Per Share,ZFCVINDIA
-,-,,Kfin Technologies Limited,15-Jul-2026,10,-,INE138Y01010,-,-,15-Jul-2026,EQ,Dividend - Rs 12 Per Share,KFINTECH
-,-,,Coromandel International Limited,16-Jul-2026,1,-,INE169A01023,-,-,16-Jul-2026,EQ,Dividend - Rs 2 Per Share,COROMANDEL
-,-,,Dabur India Limited,17-Jul-2026,1,-,INE016A01026,-,-,17-Jul-2026,EQ,Dividend - Rs 5.50 Per Share,DABUR
-,-,,Balkrishna Industries Limited,17-Jul-2026,2,-,INE787D01018,-,-,17-Jul-2026,EQ,Dividend - Rs 4 Per Share,BALKRISIND
-,-,,Happiest Minds Technologies Limited,17-Jul-2026,2,-,INE419U01012,-,-,17-Jul-2026,EQ,Dividend - Rs 3.65 Per Share,HAPPSTMNDS
-,-,,Honeywell Automation India Limited,17-Jul-2026,10,-,INE671A01010,-,-,17-Jul-2026,EQ,Dividend - Rs 110 Per Share,HONAUT
-,-,,Cummins India Limited,17-Jul-2026,2,-,INE298A01020,-,-,17-Jul-2026,EQ,Dividend - Rs 46 Per Share,CUMMINSIND
-,-,,Graphite India Limited,20-Jul-2026,2,-,INE371A01025,-,-,20-Jul-2026,EQ,Dividend - Rs 7 Per Share,GRAPHITE
-,-,,K.P.R. Mill Limited,20-Jul-2026,1,-,INE930H01015,-,-,20-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,KPRMILL
-,-,,Rainbow Childrens Medicare Limited,21-Jul-2026,10,-,INE961O01016,-,-,21-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,RAINBOW
-,-,,HEG Limited,22-Jul-2026,2,-,INE545A01016,-,-,22-Jul-2026,EQ,Dividend - Rs 3.40 Per Share,HEG
-,-,,Swelect Energy Systems Limited,24-Jul-2026,10,-,INE409B01013,-,-,24-Jul-2026,EQ,Dividend - Rs 3.50 Per Share,SWELECTES
-,-,,Jubilant Ingrevia Limited,24-Jul-2026,1,-,INE0BY001018,-,-,24-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,JUBLINGREA
-,-,,Kirloskar Brothers Limited,24-Jul-2026,2,-,INE732A01036,-,-,24-Jul-2026,EQ,Dividend - Rs 7 Per Sh,KIRLOSBROS
-,-,,Data Patterns (India) Limited,24-Jul-2026,2,-,INE0IX101010,-,-,24-Jul-2026,EQ,Dividend - Rs 10 Per Share,DATAPATTNS
-,-,,Info Edge (India) Limited,24-Jul-2026,2,-,INE663F01024,-,-,24-Jul-2026,EQ,Dividend - Rs 3.60 Per Share,NAUKRI
-,-,,Greaves Cotton Limited,28-Jul-2026,2,-,INE224A01018,-,-,28-Jul-2026,EQ,Dividend - Rs 2 Per Share,GREAVESCOT
-,-,,Godrej Agrovet Limited,29-Jul-2026,10,-,INE850D01014,-,-,29-Jul-2026,EQ,Dividend - Rs 11 Per Share,GODREJAGRO
-,-,,Indian Metals & Ferro Alloys Limited,31-Jul-2026,10,-,INE919H01018,-,-,31-Jul-2026,EQ,Dividend - Rs 7.50 Per Share,IMFA
-,-,,Endurance Technologies Limited,31-Jul-2026,10,-,INE913H01037,-,-,31-Jul-2026,EQ,Dividend - Rs 11.50 Per Share,ENDURANCE
-,-,,Carborundum Universal Limited,31-Jul-2026,1,-,INE120A01026,-,-,31-Jul-2026,EQ,Dividend - Rs 2.50 Per Share,CARBORUNIV
-,-,,Fine Organic Industries Limited,31-Jul-2026,5,-,INE686Y01026,-,-,31-Jul-2026,EQ,Dividend - Rs 11 Per Share,FINEORG
-,-,,EIH Limited,31-Jul-2026,2,-,INE230A01023,-,-,31-Jul-2026,EQ,Dividend - Rs 1.50 Per Share,EIHOTEL
-,-,,Bosch Limited,04-Aug-2026,10,-,INE323A01026,-,-,04-Aug-2026,EQ,Dividend - Rs 270 Per Share,BOSCHLTD
-,-,,Tube Investments of India Limited,07-Aug-2026,1,-,INE974X01010,-,-,07-Aug-2026,EQ,Dividend - Rs 1.50  Per Share,TIINDIA
-,-,,Maruti Suzuki India Limited,07-Aug-2026,5,-,INE585B01010,-,-,07-Aug-2026,EQ,Dividend - Rs 140 Per Share,MARUTI
-,-,,The Ramco Cements Limited,13-Aug-2026,1,-,INE331A01037,-,-,13-Aug-2026,EQ,Dividend - Rs 2.50 Per Share,RAMCOCEM
-,-,,Hindustan Petroleum Corporation Limited,14-Aug-2026,10,-,INE094A01015,-,-,14-Aug-2026,EQ,Dividend - Rs 19.25 Per Share,HINDPETRO
-,-,,Godawari Power And Ispat limited,14-Aug-2026,1,-,INE177H01013,-,-,14-Aug-2026,EQ,Dividend - Re 1 Per Share,GPIL
-,-,,Skipper Limited,17-Aug-2026,1,-,INE439E01022,-,-,17-Aug-2026,EQ,Dividend - Re 0.10 Per Share,SKIPPER
-,-,,GE Vernova T&D India Limited,21-Aug-2026,2,-,INE200A01026,-,-,21-Aug-2026,EQ,Dividend - Rs 10 Per Share,GVT&D
-,-,,Hitachi Energy India Limited,21-Aug-2026,2,-,INE07Y701011,-,-,21-Aug-2026,EQ,Dividend - Rs 8 Per Share,POWERINDIA
-,-,,Thomas Cook  (India)  Limited,27-Aug-2026,1,-,INE332A01027,-,-,27-Aug-2026,EQ,Dividend - Rs 0.50 Per Share,THOMASCOOK
-,-,,GUJARAT ENERGY LIMITED,02-Jul-2026,2,-,INE844O01030,-,-,02-Jul-2026,EQ,Demerger,GUJENERGY
